 ,Name,ID,DG,DrugOrNonDrug,logP,formula,exactmass,NumberofCarbons,wienerindex,MSA,PSA,apolarsurfacearea,donorCount,acceptorCount,rotatablebondCount,atomCount,hydrogenCount,NHA,molecularpolarizability,aliphaticringCount,aromaticringCount,aromaticatomCount,balabanindex,hararyindex,bondCount,hyperwienerindex,plattindex,randicindex,ringCount,szegedindex,wienerpolarity,DG_NHA,DG_MW,DG_PSA,DG_MSA,DG_apolarSA,DG_Wiener,DG_P,DG_NoC
166,3bkk,DR166,-8.3,0,3.12,C28H30N2O6,490.21,28,4442,623.47,111.9,511.57,5,8,12,66,30,36,52.6,0,3,18,1.47,147.81,68,22649,228,29.77,3,5333,51,-0.23,-0.02,-0.07,-0.01,-0.02,0,-0.01,-0.3
167,3bkl,DR167,-8.41,0,2.89,C30H31N3O6,529.22,30,5517,663.14,127.69,535.45,6,8,12,70,31,39,57.79,0,4,21,1.25,167.62,73,29740,246,31.68,4,6650,58,-0.22,-0.02,-0.07,-0.01,-0.02,0,-0.01,-0.28
168,3bva,DR168,-8.9,0,-0.36,C35H67N11O8,769.52,35,13642,1067.14,152.08,915.06,11,19,29,121,67,54,79.87,0,0,0,5.98,254.28,120,91723,436,51.99,0,13642,75,-0.16,-0.01,-0.06,-0.01,-0.01,0,-20.4,-0.25
169,3c1k,DR169,-12.88,0,-0.25,C26H34N6O5S,542.23,26,5445,693.87,127.15,566.72,2,10,9,72,34,38,56.25,2,1,6,1.49,159,74,31413,262,31.47,3,6656,55,-0.34,-0.02,-0.1,-0.02,-0.02,0,-22.9,-0.5
170,3c56,DR170,-10.76,0,-4.68,C5H13NO10P2,309,5,759,343.44,193.68,149.76,5,11,8,31,13,18,23.42,0,0,0,3.72,50.33,30,2926,98,13.76,0,759,18,-0.6,-0.03,-0.06,-0.03,-0.07,-0.01,-515000,-2.15
171,3cct,DR171,-10.32,0,5.13,C33H35FN2O6,574.25,33,5714,734.6,119.99,614.61,5,8,12,77,35,42,63.35,0,4,23,1.63,198.74,80,26675,272,34.62,4,7271,68,-0.25,-0.02,-0.09,-0.01,-0.02,0,-0.0000765,-0.31
172,3ccw,DR172,-6.64,0,2.36,C27H32FN3O5,497.23,27,4261,643.53,112.65,530.88,4,8,12,68,32,36,52.12,1,2,12,1.58,150.59,70,20790,242,30.25,3,5210,53,-0.18,-0.01,-0.06,-0.01,-0.01,0,-0.03,-0.25
173,3ccz,DR173,-9.94,0,1.76,C28H34FN3O6,527.24,28,4816,678.41,132.88,545.53,5,9,13,72,34,38,54.6,1,2,12,1.72,164.41,74,23650,256,32.06,3,5847,58,-0.26,-0.02,-0.07,-0.01,-0.02,0,-0.17,-0.35
174,3cd0,DR174,-10.33,0,2.76,C27H31F2N3O5,515.22,27,4634,650.85,112.65,538.2,4,9,12,68,31,37,52.46,1,2,12,1.53,156.27,70,23303,242,30.25,3,5714,55,-0.28,-0.02,-0.09,-0.02,-0.02,0,-0.02,-0.38
175,3cd5,DR175,-10.77,0,3.79,C31H36N2O5,516.26,31,5165,673.86,99.76,574.1,4,6,11,74,36,38,58.47,1,3,17,1.31,163.05,77,28205,270,32.92,4,6807,62,-0.28,-0.02,-0.11,-0.02,-0.02,0,0,-0.35
176,3cd7,DR176,-10.7,0,5.5,C33H34F2N2O5,576.24,33,5733,730.05,99.76,630.29,4,8,12,76,34,42,62.34,0,4,23,1.63,198.25,79,26821,270,34.08,4,7356,67,-0.25,-0.02,-0.11,-0.01,-0.02,0,-0.0000338,-0.32
177,3cda,DR177,-10.34,0,4.34,C33H36FN3O7S,637.23,33,7122,788.64,142.28,646.36,5,10,13,81,36,45,68.68,0,4,23,1.5,217.15,84,36285,288,36.23,4,9214,73,-0.23,-0.02,-0.07,-0.01,-0.02,0,0,-0.31
178,3cdb,DR178,-9.57,0,3.72,C33H35F2N3O7S,655.22,33,7338,797.65,142.28,655.37,5,11,13,81,35,46,67.94,0,4,23,1.52,226.97,84,36655,288,36.23,4,9506,76,-0.21,-0.01,-0.07,-0.01,-0.01,0,0,-0.29
179,3cj5,DR179,-8.64,0,2.41,C22H30BrN3O4,479.14,22,2704,562.34,87.62,474.72,1,7,5,60,30,30,45.98,2,1,6,1.51,115.37,62,12532,230,25.97,3,3712,45,-0.29,-0.02,-0.1,-0.02,-0.02,0,-0.03,-0.39
180,3cke,DR180,-8.32,0,1.24,C15H26F2O7P2,418.11,15,2300,508.5,132.91,375.59,3,9,13,52,26,26,37.44,0,0,0,3.77,83.4,51,12494,178,22.43,0,2300,29,-0.32,-0.02,-0.06,-0.02,-0.02,0,-0.48,-0.55
181,3cm2,DR181,-8.82,0,2.4,C28H37N5O3,491.29,28,3949,645.9,64.8,581.1,4,8,8,73,37,36,54.85,2,2,12,1.34,157.9,76,17948,276,32.15,4,5123,63,-0.25,-0.02,-0.14,-0.01,-0.02,0,-0.04,-0.32
182,3cow,DR182,-9.42,0,-3.08,C16H24N6O8S,460.14,16,2911,538.66,182.34,356.32,5,13,6,55,24,31,42.35,3,0,0,1.51,123.8,57,13760,202,24.38,3,3569,51,-0.3,-0.02,-0.05,-0.02,-0.03,0,-11300,-0.59
183,3coy,DR183,-8.21,0,-3.15,C16H25N7O7S,459.15,16,2911,542.68,162.11,380.57,5,13,6,56,25,31,43.19,3,0,0,1.51,123.8,58,13760,206,24.76,3,3569,51,-0.26,-0.02,-0.05,-0.02,-0.02,0,-11600,-0.51
184,3coz,DR184,-7.6,0,-3.54,C15H23N7O7S,445.14,15,2661,513.22,162.11,351.11,5,13,6,53,23,30,41.37,3,0,0,1.55,117.78,55,12310,194,23.51,3,3289,49,-0.25,-0.02,-0.05,-0.01,-0.02,0,-26300,-0.51
185,3cpj,DR185,-6.44,0,-5.95,C10H15N5O11P2,443.02,10,2115,459.3,271.27,188.03,8,14,6,43,15,28,34.83,3,0,0,1.5,108.54,45,8949,152,19.62,3,2720,44,-0.23,-0.01,-0.02,-0.01,-0.03,0,-5740000,-0.64
186,3cs7,DR186,-14.57,0,3.68,C28H29F3N4O2,510.22,28,4519,635.09,59.9,575.19,0,8,7,66,29,37,51.28,4,2,12,1.11,164.59,71,22935,262,29.13,6,7065,64,-0.39,-0.03,-0.24,-0.02,-0.03,0,0,-0.52
187,3d0e,DR187,-11.46,0,1.53,C21H27N7O3,425.22,21,2645,551.64,99.09,452.55,3,8,7,58,27,31,45.28,3,1,5,1.31,126.89,61,10937,216,25.71,4,3693,48,-0.37,-0.03,-0.12,-0.02,-0.03,0,-0.34,-0.55
188,3d1x,DR188,-11.81,0,3.83,C38H50N6O5,670.38,38,9512,886.57,114.99,771.58,5,11,13,99,50,49,75.01,3,2,12,1.16,238.43,103,54001,376,43.48,5,12982,77,-0.24,-0.02,-0.1,-0.01,-0.02,0,0,-0.31
189,3d4z,DR189,-6.67,0,-2.73,C8H12N2O4,200.08,8,262,238.15,98.74,139.41,4,5,1,26,12,14,18.27,2,0,0,2.19,40.97,27,581,94,11.79,2,424,24,-0.48,-0.03,-0.07,-0.03,-0.05,-0.03,-3580,-0.83
190,3d50,DR190,-6.51,0,1.88,C15H29NO4,287.21,15,986,411.69,80.92,330.77,5,5,9,49,29,20,31.4,1,0,0,2.21,60.56,49,4019,182,21.17,1,1245,28,-0.33,-0.02,-0.08,-0.02,-0.02,-0.01,-0.09,-0.43
191,3d52,DR191,-4.48,0,-0.41,C13H16ClN3O6,345.07,13,1344,384.12,131.61,252.51,6,10,4,39,16,23,31.13,1,1,6,1.75,77.57,40,5480,132,17.73,2,1888,35,-0.19,-0.01,-0.03,-0.01,-0.02,0,-11.5,-0.34
192,3d7k,DR192,-6.28,0,-3.86,C20H29N4O11P3S,626.08,20,4820,719.04,274.15,444.89,6,16,12,68,29,39,56.87,2,1,6,1.82,178.04,70,22410,238,30.38,3,5922,67,-0.16,-0.01,-0.02,-0.01,-0.01,0,-45500,-0.31
