 ,Name,ID,DG,DrugOrNonDrug,logP,formula,exactmass,NumberofCarbons,wienerindex,MSA,PSA,apolarsurfacearea,donorCount,acceptorCount,rotatablebondCount,atomCount,hydrogenCount,NHA,molecularpolarizability,aliphaticringCount,aromaticringCount,aromaticatomCount,balabanindex,hararyindex,bondCount,hyperwienerindex,plattindex,randicindex,ringCount,szegedindex,wienerpolarity,DG_NHA,DG_MW,DG_PSA,DG_MSA,DG_apolarSA,DG_Wiener,DG_P,DG_NoC
11,Atosiban,DR11,-11.49,1,-2.86,C43H67N11O12S2,993.44,43,22869,1243.34,264.35,978.99,11,25,18,135,67,68,99.6,2,1,6,1.88,376.32,137,160243,494,58.76,3,35148,106,-0.17,-0.01,-0.04,-0.01,-0.01,0,-8330,-0.27
12,Benperidol,DR12,-14.37,1,2.75,C22H24FN3O2,381.19,22,2452,491.11,66.8,424.31,1,5,6,52,24,28,40.8,2,2,12,1.12,103.63,55,12374,198,23.04,4,3654,43,-0.51,-0.04,-0.22,-0.03,-0.03,-0.01,-0.03,-0.65
13,BrimonidineGTP,DR13,-11.96,1,0.86,C11H10BrN5,291.01,11,515,272.57,30.82,241.75,2,5,1,27,10,17,25.39,2,1,6,1.33,52.82,29,1527,96,12.31,3,890,24,-0.7,-0.04,-0.39,-0.04,-0.05,-0.02,-1.65,-1.09
14,Brompheniramine,DR14,-11.17,1,3.41,C16H19BrN2,318.07,16,718,381.41,26.48,354.93,0,2,5,38,19,19,32.45,1,1,6,1.72,59.85,39,2256,134,16.79,2,1042,25,-0.59,-0.04,-0.42,-0.03,-0.03,-0.02,0,-0.7
15,capsaicin,DR15,-8.36,1,4.58,C18H27NO3,305.2,18,1411,446.24,46.53,399.71,2,4,9,49,27,22,34.81,0,1,6,2.02,66.8,49,6722,172,21.28,1,1675,26,-0.38,-0.03,-0.18,-0.02,-0.02,-0.01,0,-0.46
16,CARBAMAZEPINE,DR16,-6.8,1,2.3,C15H12N2O,236.09,15,521,282.92,20.31,262.61,1,3,0,30,12,18,27.07,1,2,12,1.85,60.41,32,1332,102,13.84,3,928,33,-0.38,-0.03,-0.33,-0.02,-0.03,-0.01,-0.03,-0.45
17,Carbinoxamine,DR17,-11.74,1,2.62,C16H19ClN2O,290.12,16,851,391.32,35.71,355.61,0,4,6,39,19,20,32.52,1,1,6,1.88,63.78,40,2849,136,17.25,2,1196,26,-0.59,-0.04,-0.33,-0.03,-0.03,-0.01,-0.03,-0.73
18,Carnitine,DR18,-6.8,1,-2.34,C7H16NO3,162.11,7,170,248.63,57.53,191.1,2,4,4,27,16,11,16.58,0,0,0,3.61,24.75,26,417,94,11.54,0,170,9,-0.62,-0.04,-0.12,-0.03,-0.04,-0.04,-1490,-0.97
19,carvedilol,DR19,-12.18,1,3.37,C24H26N2O4,406.19,24,3062,539.27,63.71,475.56,3,5,10,56,26,30,47.94,0,4,19,1.01,112.14,59,16535,200,25.18,4,4077,45,-0.41,-0.03,-0.19,-0.02,-0.03,0,-0.01,-0.51
20,Cetirizineplusisomer,DR20,-11.55,1,2.81,C21H25ClN2O3,388.16,21,2068,502.84,73.71,429.13,1,6,8,52,25,27,42.3,1,2,12,1.44,98.42,54,9281,190,23.02,3,3070,38,-0.43,-0.03,-0.16,-0.02,-0.03,-0.01,-0.02,-0.55
21,Chloroquine,DR21,-9.47,1,4.01,C18H26ClN3,319.18,18,1212,455.52,26.48,429.04,1,4,8,48,26,22,38.25,1,1,6,1.57,71.86,49,4904,176,20.85,2,1717,31,-0.43,-0.03,-0.36,-0.02,-0.02,-0.01,0,-0.53
22,ciclesonide,DR22,-10.1,1,4.29,C32H44O7,540.31,32,4484,690.88,99.13,591.75,1,7,6,83,44,39,58.15,6,0,0,1.26,189.67,88,19780,350,35.77,6,7838,83,-0.26,-0.02,-0.1,-0.01,-0.02,0,0,-0.32
23,Cyclopentolate,DR23,-11.95,1,2.39,C17H25NO3,291.18,17,929,418.41,60.12,358.29,1,4,7,46,25,21,32.84,1,1,6,1.9,70.23,47,3078,172,19.98,2,1128,29,-0.57,-0.04,-0.2,-0.03,-0.03,-0.01,-0.05,-0.7
24,CyclosporinA,DR24,-8.05,1,4.57,C62H111N11O12,1201.84,62,37337,1731.15,303.13,1428.02,5,23,15,196,111,85,129.41,1,0,0,4.22,539.73,196,260224,734,83.32,1,63427,150,-0.09,-0.01,-0.03,0,-0.01,0,0,-0.13
25,Darifenacin,DR25,-12.34,1,4.54,C28H30N2O2,426.23,28,2965,571.1,39.89,531.21,1,4,7,62,30,32,49.84,2,3,18,1.24,134.13,66,13271,236,27.64,5,4201,54,-0.39,-0.03,-0.31,-0.02,-0.02,0,0,-0.44
26,Desvenlafaxine,DR26,-10.05,1,2.51,C16H25NO2,263.19,16,672,391.69,54.05,337.64,2,3,4,44,25,19,30.72,1,1,6,1.85,61.83,45,1979,166,19.14,2,996,28,-0.53,-0.04,-0.19,-0.03,-0.03,-0.01,-0.03,-0.63
27,Dexmedetomidine,DR27,-12.23,1,2.32,C13H16N2,200.13,13,353,297.45,28.68,268.77,1,1,2,31,16,15,23.99,1,1,6,1.83,43.54,32,920,110,13.69,2,508,21,-0.82,-0.06,-0.43,-0.04,-0.05,-0.03,-0.06,-0.94
28,Dichlorphenamide,DR28,-10.09,1,1.27,C6H6Cl2N2O4S2,303.91,6,398,290.41,85.04,205.37,2,8,2,22,6,16,26.39,0,1,6,2.86,48.63,22,1001,72,9.77,1,580,25,-0.63,-0.03,-0.12,-0.03,-0.05,-0.03,-0.54,-1.68
29,Dicyclomine,DR29,-12.52,1,5.5,C19H35NO2,309.27,19,1099,483.2,39.89,443.31,0,3,8,57,35,22,36.7,2,0,0,1.75,74.21,58,3946,230,23.99,2,1441,34,-0.57,-0.04,-0.31,-0.03,-0.03,-0.01,-0.0000396,-0.66
30,dienogest,DR30,-12.23,1,2.3,C20H25NO2,311.19,20,1082,396.92,61.09,335.83,1,3,2,48,25,23,35,4,0,0,1.5,87.54,51,3595,202,20.8,4,2152,47,-0.53,-0.04,-0.2,-0.03,-0.04,-0.01,-0.06,-0.61
31,Diflunisal,DR31,-6.91,1,4.69,C13H8F2O3,250.04,13,597,279.33,57.53,221.8,2,5,2,26,8,18,23.94,0,2,12,1.86,56.92,27,1793,82,12.09,2,984,28,-0.38,-0.03,-0.12,-0.02,-0.03,-0.01,0,-0.53
32,Diphenylpyraline,DR32,-11.55,1,3.7,C19H23NO,281.18,19,930,401.47,22.82,378.65,0,2,4,44,23,21,34.27,1,2,12,1.39,70.63,46,3070,164,19.42,3,1458,29,-0.55,-0.04,-0.51,-0.03,-0.03,-0.01,0,-0.61
33,DOXEPIN,DR33,-13.66,1,3.99,C19H21NO,279.16,19,882,388.09,22.82,365.27,0,2,3,42,21,21,34.19,1,2,12,1.48,72.71,44,2780,152,18.65,3,1385,35,-0.65,-0.05,-0.6,-0.04,-0.04,-0.02,0,-0.72
34,Ephedrine-,DR34,-10.01,1,1.39,C10H15NO,165.12,10,202,250.5,20.23,230.27,2,2,3,27,15,12,19.86,0,1,6,2.33,29.66,27,489,92,11.89,1,283,15,-0.83,-0.06,-0.49,-0.04,-0.04,-0.05,-0.41,-1
35,erlotinib,DR35,-12.04,1,2.54,C22H23N3O4,393.17,22,2396,516.39,62.7,453.69,1,7,11,52,23,29,43.33,1,2,12,1.44,110.02,54,10435,178,23.3,3,3792,43,-0.42,-0.03,-0.19,-0.02,-0.03,-0.01,-0.03,-0.55
36,Escitalopram,DR36,-12.18,1,3.54,C20H21FN2O,324.16,20,1298,440.5,46.61,393.89,0,4,6,45,21,24,35.71,1,2,12,1.59,87.89,47,4554,166,19.92,3,1925,39,-0.51,-0.04,-0.26,-0.03,-0.03,-0.01,0,-0.61
37,ethopropazine,DR37,-10.47,1,4.21,C19H24N2S,312.17,19,988,436.11,52.48,383.63,0,3,5,46,24,22,37.89,1,2,12,1.73,78.16,48,3136,170,20.26,3,1741,37,-0.48,-0.03,-0.2,-0.02,-0.03,-0.01,0,-0.55
38,FENOLDOPAM,DR38,-11.63,1,2.01,C16H16ClNO3,305.08,16,851,365.08,60.69,304.39,4,5,1,37,16,21,31.76,1,2,12,1.53,74.31,39,2609,132,16.83,3,1449,39,-0.55,-0.04,-0.19,-0.03,-0.04,-0.01,-0.11,-0.73
39,Fenoprofen,DR39,-7.56,1,3.14,C15H14O3,242.09,15,650,318.55,46.53,272.02,1,2,4,32,14,18,26.96,0,2,12,1.69,54.8,33,2135,106,14.53,2,990,24,-0.42,-0.03,-0.16,-0.02,-0.03,-0.01,-0.01,-0.5
40,flumazenil,DR40,-12.23,1,0.86,C15H14FN3O3,303.1,15,956,363.94,74.78,289.16,0,6,3,36,14,22,29.87,2,1,6,1.81,80.12,38,3000,130,16.07,3,1501,41,-0.56,-0.04,-0.16,-0.03,-0.04,-0.01,-1.69,-0.82
41,Fluvoxamine,DR41,-11.96,1,3.2,C15H21F3N2O2,318.16,15,1216,421.74,30.82,390.92,1,7,10,43,21,22,29.83,0,1,6,2.41,69.94,43,4796,150,18.63,1,1531,28,-0.54,-0.04,-0.39,-0.03,-0.03,-0.01,-0.01,-0.8
42,Gallamine,DR42,-7.83,1,3.46,C24H45N3O3,423.35,24,2827,681.69,68.46,613.23,0,6,18,75,45,30,50.14,0,1,6,2.62,108.53,75,13204,276,31.87,1,3326,41,-0.26,-0.02,-0.11,-0.01,-0.01,0,0,-0.33
43,Gefitinib,DR43,-11.89,1,3.02,C22H24ClFN4O3,446.15,22,3020,551.05,67.06,483.99,1,9,8,55,24,31,46.15,2,2,12,1.12,120.93,58,14698,202,24.43,4,4768,48,-0.38,-0.03,-0.18,-0.02,-0.02,0,-0.01,-0.54
44,Guanfacine,DR44,-10.45,1,2.21,C9H9Cl2N3O,245.01,9,384,266.24,29.43,236.81,2,6,2,24,9,15,23.35,0,1,6,2.24,41.39,24,1088,74,10.83,1,508,19,-0.7,-0.04,-0.36,-0.04,-0.04,-0.03,-0.06,-1.16
45,Homatropine,DR45,-10.33,1,1.76,C16H21NO3,275.15,16,854,362.81,60.12,302.69,1,4,4,41,21,20,30.28,2,1,6,1.36,65.8,43,2975,160,17.98,3,1243,30,-0.52,-0.04,-0.17,-0.03,-0.03,-0.01,-0.18,-0.65
46,Hydralazine,DR46,-6.95,1,0.37,C8H8N4,160.07,8,182,202.9,25.78,177.12,2,4,1,20,8,12,18.64,0,2,10,1.83,31.53,21,397,64,9.27,2,368,17,-0.58,-0.04,-0.27,-0.03,-0.04,-0.04,-2.97,-0.87
47,Hydrocodone,DR47,-10.81,1,1.19,C18H21NO3,299.15,18,824,378.93,49.12,329.81,0,4,1,43,21,22,32.47,4,1,6,1.5,87.32,47,2211,184,18.78,5,2007,51,-0.49,-0.04,-0.22,-0.03,-0.03,-0.01,-0.7,-0.6
48,Hydroxyamphetamine,DR48,-7.21,1,1.36,C9H13NO,151.1,9,166,224.21,20.23,203.98,2,2,2,24,13,11,17.95,0,1,6,1.97,25.65,24,408,80,10.66,1,250,11,-0.66,-0.05,-0.36,-0.03,-0.04,-0.04,-0.31,-0.8
49,Hydroxyzine,DR49,-12.23,1,2.71,C21H27ClN2O2,374.18,21,1831,503.48,56.64,446.84,1,5,8,53,27,26,42.09,1,2,12,1.52,93.69,55,7856,196,23.35,3,2761,37,-0.47,-0.03,-0.22,-0.02,-0.03,-0.01,-0.02,-0.58
50,ILOPERIDONE,DR50,-13.54,1,4.04,C24H27FN2O4,426.2,24,3379,554.58,75.15,479.43,0,6,8,58,27,31,45.71,1,3,15,0.98,117.94,61,19011,218,25.57,4,5026,48,-0.44,-0.03,-0.18,-0.02,-0.03,0,0,-0.56
51,Ipratropium,DR51,-13.44,1,1.44,C20H30NO3,332.22,20,1371,467.58,46.53,421.05,1,4,6,54,30,24,37.58,2,1,6,1.46,87.04,56,5196,214,23.36,3,1953,42,-0.56,-0.04,-0.29,-0.03,-0.03,-0.01,-0.49,-0.67
52,Ketorolac,DR52,-13.21,1,1.33,C15H13NO3,255.09,15,693,312.23,59.3,252.93,1,3,3,32,13,19,27.1,1,2,11,1.56,62.65,34,2183,116,14.51,3,977,29,-0.7,-0.05,-0.22,-0.04,-0.05,-0.02,-0.62,-0.88
53,LABETALOL,DR53,-10.77,1,2.52,C19H24N2O3,328.18,19,1607,444.66,57.53,387.13,4,5,8,48,24,24,36.95,0,2,12,1.58,80.29,49,7193,166,21.43,2,2114,33,-0.45,-0.03,-0.19,-0.02,-0.03,-0.01,-0.03,-0.57
54,Lanreotide,DR54,-12.64,1,1.82,C54H71N11O10S2,1097.48,54,33809,1380.4,270.41,1109.99,15,22,29,148,71,77,118.41,0,5,25,1.28,437.7,152,270798,530,65.68,5,37846,122,-0.16,-0.01,-0.05,-0.01,-0.01,0,-0.19,-0.23
55,Mebendazole,DR55,-6.8,1,2.54,C16H13N3O3,295.1,16,1138,356.93,84.08,272.85,2,5,4,35,13,22,32.09,1,2,12,1.5,74.83,37,4359,118,16.01,3,1698,32,-0.31,-0.02,-0.08,-0.02,-0.02,-0.01,-0.02,-0.42
56,Meclizine,DR56,-8.97,1,5.76,C25H27ClN2,390.19,25,2177,526.61,27.18,499.43,0,3,5,55,27,28,46.69,1,3,18,1.28,106.69,58,9430,204,24.47,4,3518,42,-0.32,-0.02,-0.33,-0.02,-0.02,0,-0.0000156,-0.36
57,Meclofenamate,DR57,-9.11,1,4.16,C14H11Cl2NO2,295.02,14,682,335.75,37.3,298.45,2,5,3,30,11,19,29.64,0,2,12,1.8,61.64,31,2046,98,13.68,2,1046,30,-0.48,-0.03,-0.24,-0.03,-0.03,-0.01,0,-0.65
58,MefenamicAcid,DR58,-9.24,1,3.35,C15H15NO2,241.11,15,602,324.48,37.3,287.18,2,3,3,33,15,18,27.37,0,2,12,1.83,56.36,34,1799,110,14.89,2,930,27,-0.51,-0.04,-0.25,-0.03,-0.03,-0.02,0,-0.62
59,Meloxicam,DR59,-9.32,1,0.27,C14H13N3O4S2,351.03,14,1115,364.27,131.07,233.2,2,8,1,36,13,23,34.54,2,1,6,1.67,84.69,38,3723,126,16.28,3,1779,41,-0.41,-0.03,-0.07,-0.03,-0.04,-0.01,-5,-0.67
60,Menthol,DR60,-6.8,1,3.21,C10H20O,156.15,10,150,257.42,20.23,237.19,1,1,1,31,20,11,19.05,1,0,0,2.22,26.6,31,327,122,13.06,1,236,14,-0.62,-0.04,-0.34,-0.03,-0.03,-0.05,0,-0.68
61,Meperidine,DR61,-8.68,1,2.63,C15H21NO2,247.16,15,568,359.6,39.89,319.71,0,3,4,39,21,18,28.55,1,1,6,1.99,57.57,40,1590,146,16.92,2,871,29,-0.48,-0.04,-0.22,-0.02,-0.03,-0.02,-0.02,-0.58
62,Methacholine,DR62,-10.38,1,-0.72,C8H18NO2,160.13,8,170,268.52,26.3,242.22,0,3,4,29,18,11,17.83,0,0,0,3.61,24.75,28,417,104,12.13,0,170,9,-0.94,-0.06,-0.39,-0.04,-0.04,-0.06,-54.5,-1.3
63,METHAMPHETAMINE,DR63,-10.75,1,2.15,C10H15N,149.12,10,168,241.09,12,229.09,1,1,3,26,15,11,19.21,0,1,6,1.94,25.38,26,413,90,11.33,1,240,11,-0.98,-0.07,-0.9,-0.04,-0.05,-0.06,-0.08,-1.08
64,Metoprolol,DR64,-10.68,1,1.63,C15H25NO3,267.18,15,906,406.31,38.69,367.62,2,4,9,44,25,19,30.35,0,1,6,1.94,54.58,44,3788,156,19.03,1,1158,21,-0.56,-0.04,-0.28,-0.03,-0.03,-0.01,-0.25,-0.71
65,Milnacipran,DR65,-10.97,1,1.91,C15H22N2O,246.17,15,572,367.59,30.66,336.93,1,3,5,40,22,18,28.99,1,1,6,2,57.04,41,1601,150,17.4,2,707,29,-0.61,-0.04,-0.36,-0.03,-0.03,-0.02,-0.14,-0.73
66,mirtazepine,DR66,-11.82,1,1.57,C17H19N3,265.16,17,687,356.71,40.07,316.64,0,3,0,39,19,20,31.28,3,1,6,1.42,71.92,42,1860,152,17.33,4,1416,38,-0.59,-0.04,-0.3,-0.03,-0.04,-0.02,-0.32,-0.7
67,Montelukast,DR67,-11.74,1,7.89,C35H36ClNO3S,585.21,35,6351,744.08,95.72,648.36,2,6,12,77,36,41,67.57,2,3,18,1.08,179.93,81,35269,284,34.42,5,8915,62,-0.29,-0.02,-0.12,-0.02,-0.02,0,-0.000000151,-0.34
68,Nabilone,DR68,-10.4,1,6.8,C24H36O3,372.27,24,1826,556.09,46.53,509.56,1,3,6,63,36,27,43.4,2,1,6,1.65,105.21,65,7273,250,27.01,3,3174,48,-0.39,-0.03,-0.22,-0.02,-0.02,-0.01,-0.00000165,-0.43
69,Nabumetone,DR69,-6.36,1,3.06,C15H16O2,228.12,15,566,320.42,26.3,294.12,0,2,4,33,16,17,27.91,0,2,10,1.77,50.45,34,1881,116,14.59,2,970,23,-0.37,-0.03,-0.24,-0.02,-0.02,-0.01,-0.01,-0.42
70,Nalbuphine,DR70,-11.43,1,1.41,C21H27NO4,357.19,21,1356,450.32,83.51,366.81,3,5,2,53,27,26,38.25,5,1,6,1.29,110.71,58,4276,230,23.35,6,3158,60,-0.44,-0.03,-0.14,-0.03,-0.03,-0.01,-0.44,-0.54
71,Naphazoline,DR71,-11.21,1,2.44,C14H14N2,210.12,14,431,280.75,12.36,268.39,1,2,2,30,14,16,26.43,1,2,10,1.41,48.26,32,1205,110,13.5,3,748,21,-0.7,-0.05,-0.91,-0.04,-0.04,-0.03,-0.04,-0.8
72,Nebivolol,DR72,-10.31,1,2.74,C22H25F2NO4,405.18,22,2692,500.21,58.92,441.29,3,7,6,54,25,29,40.25,2,2,12,1.08,108.95,57,13790,206,24,4,4316,46,-0.36,-0.03,-0.18,-0.02,-0.02,0,-0.02,-0.47
73,NOREPINEPHRINE,DR73,-12.64,1,0.16,C8H11NO3,169.07,8,198,220.59,60.69,159.9,4,4,2,23,11,12,17.44,0,1,6,2.39,30.04,23,473,72,10.51,1,300,16,-1.05,-0.07,-0.21,-0.06,-0.08,-0.06,-8.75,-1.58
74,octreotide,DR74,-14.54,1,0.3,C49H66N10O10S2,1018.44,49,23347,1271.7,246.57,1025.13,13,21,17,137,66,71,107.69,1,4,21,1.44,412.06,141,145934,496,60.67,5,37800,112,-0.2,-0.01,-0.06,-0.01,-0.01,0,-7.29,-0.3
75,Oxazepam,DR75,-8.78,1,2.84,C15H11ClN2O2,286.05,15,727,320.86,49.66,271.2,2,5,1,31,11,20,29.47,1,2,12,1.63,69.35,33,2076,106,14.3,3,1227,35,-0.44,-0.03,-0.18,-0.03,-0.03,-0.01,-0.01,-0.59
76,OXPRENOLOL,DR76,-11.02,1,2.02,C15H23NO3,265.17,15,834,383.53,38.69,344.84,2,4,9,42,23,19,30.19,0,1,6,2.12,55.79,42,3116,144,18.4,1,1014,22,-0.58,-0.04,-0.28,-0.03,-0.03,-0.01,-0.11,-0.73
77,oxycodone,DR77,-10.96,1,0.28,C18H21NO4,315.15,18,907,393.63,69.35,324.28,1,5,1,44,21,23,33.1,4,1,6,1.49,94.4,48,2432,186,19.34,5,2189,57,-0.48,-0.03,-0.16,-0.03,-0.03,-0.01,-5.75,-0.61
78,Oxymorphone,DR78,-12.25,1,-0.04,C17H19NO4,301.13,17,788,364.28,80.35,283.93,2,5,0,41,19,22,31.21,4,1,6,1.57,89.12,45,2008,174,18.19,5,1958,55,-0.56,-0.04,-0.15,-0.03,-0.04,-0.02,-13.4,-0.72
79,Oxytocin,DR79,-12.64,1,-2.67,C43H66N12O12S2,1006.44,43,23044,1241.87,272.19,969.68,12,26,17,135,66,69,100.3,2,1,6,1.92,388.4,137,156187,492,58.91,3,35269,107,-0.18,-0.01,-0.05,-0.01,-0.01,0,-5910,-0.29
80,Pancuronium,DR80,-5.77,1,4.42,C35H60N2O4,572.46,35,5163,829.32,52.6,776.72,0,6,6,101,60,41,65.54,6,0,0,1.19,203.27,106,23725,436,42.76,6,9407,84,-0.14,-0.01,-0.11,-0.01,-0.01,0,0,-0.16
81,paracetamol,DR81,-6.76,1,0.45,C8H9NO2,151.06,8,166,201.6,37.3,164.3,2,3,1,20,9,11,15.96,0,1,6,1.97,25.65,20,408,62,9.03,1,250,11,-0.61,-0.04,-0.18,-0.03,-0.04,-0.04,-2.4,-0.84
82,Pemetrexed,DR82,-7.04,1,0.53,C20H21N5O6,427.15,20,3252,511.67,151.56,360.11,6,10,9,52,21,31,41.6,1,2,11,1.34,117.91,54,17402,180,23.49,3,4452,46,-0.23,-0.02,-0.05,-0.01,-0.02,0,-2.08,-0.35
83,Pentagastrin,DR83,-12.37,1,1.31,C37H49N7O9S,767.33,37,13349,975.17,190.04,785.13,8,16,23,103,49,54,80.02,0,3,15,1.7,259.79,105,87384,366,45.35,3,14503,76,-0.23,-0.02,-0.07,-0.01,-0.02,0,-0.61,-0.33
84,Pentazocine,DR84,-11.77,1,3.69,C19H27NO,285.21,19,870,415.13,33.82,381.31,1,2,2,48,27,21,34.61,2,1,6,1.52,74.49,50,2798,188,20.82,3,1750,39,-0.56,-0.04,-0.35,-0.03,-0.03,-0.01,0,-0.62
85,Pentoxifylline,DR85,-5.58,1,-1.69,C13H18N4O3,278.14,13,834,374.93,78.89,296.04,0,4,5,38,18,20,27.84,2,0,0,1.93,65.77,39,2839,140,16.49,2,1143,32,-0.28,-0.02,-0.07,-0.01,-0.02,-0.01,-273,-0.43
86,Phenelzine,DR86,-6.9,1,1.08,C8H12N2,136.1,8,133,208.02,38,170.02,2,2,3,22,12,10,16.82,0,1,6,2.02,21.64,22,323,72,9.78,1,196,9,-0.69,-0.05,-0.18,-0.03,-0.04,-0.05,-0.57,-0.86
87,PHENOXYBENZAMINE,DR87,-12.3,1,4.72,C18H22ClNO,303.14,18,1046,419.4,22.82,396.58,0,3,8,43,22,21,35.02,0,2,12,1.64,66.57,44,3926,152,18.94,2,1370,26,-0.59,-0.04,-0.54,-0.03,-0.03,-0.01,0,-0.68
88,Protriptyline,DR88,-12.03,1,4.72,C19H21N,263.17,19,759,368.31,12,356.31,1,1,4,41,21,20,33.57,1,2,12,1.57,68.05,43,2282,150,18.26,3,1230,34,-0.6,-0.05,-1,-0.03,-0.03,-0.02,0,-0.63
89,ROFECOXIB,DR89,-10.53,1,3.21,C17H14O4S,314.06,17,1061,370.04,68.82,301.22,0,4,3,36,14,22,33.58,1,2,12,1.61,76.98,38,3738,128,16.2,3,1596,34,-0.48,-0.03,-0.15,-0.03,-0.03,-0.01,-0.01,-0.62
90,Succinylcholine,DR90,-7.53,1,-2.91,C14H30N2O4,290.22,14,1078,459.06,52.6,406.46,0,6,11,50,30,20,31.27,0,0,0,3.6,57.42,49,4741,184,21.01,0,1078,19,-0.38,-0.03,-0.14,-0.02,-0.02,-0.01,-6120,-0.54
91,Sulfasalazine,DR91,-3.54,1,1.51,C18H14N4O5S,398.07,18,2428,423.24,134.17,289.07,3,9,5,42,14,28,39.21,2,1,6,1.28,102.69,44,12034,138,19.32,3,3628,42,-0.13,-0.01,-0.03,-0.01,-0.01,0,-0.11,-0.2
92,Sulindac,DR92,-6.26,1,3.55,C20H17FO3S,356.09,20,1517,420.13,73.58,346.55,1,4,4,42,17,25,37.72,1,2,12,1.46,92.19,44,5806,146,18.95,3,2281,40,-0.25,-0.02,-0.09,-0.01,-0.02,0,0,-0.31
93,Suprofen,DR93,-8.1,1,2.24,C14H12O3S,260.05,14,653,311.81,82.61,229.2,1,4,4,30,12,18,27.01,0,2,11,1.69,55.2,31,2194,100,13.62,2,924,25,-0.45,-0.03,-0.1,-0.03,-0.04,-0.01,-0.05,-0.58
94,tadalafil,DR94,-10.89,1,1.47,C22H19N3O4,389.14,22,1914,458.55,95.57,362.98,1,6,1,48,19,29,41.52,3,3,15,1.1,125.14,53,6568,190,21.65,6,3596,56,-0.38,-0.03,-0.11,-0.02,-0.03,-0.01,-0.37,-0.49
95,Tamsulosin,DR95,-12.53,1,2.86,C20H28N2O5S,408.17,20,2488,549.85,70.21,479.64,2,7,11,56,28,28,44.14,0,2,12,1.56,100.07,57,12466,198,24.5,2,3227,40,-0.45,-0.03,-0.18,-0.02,-0.03,-0.01,-0.02,-0.63
96,Tetrahydrozoline,DR96,-10.82,1,1.95,C13H16N2,200.13,13,339,273.57,12.36,261.21,1,2,1,31,16,15,23.56,2,1,6,1.59,44.87,33,851,122,13.64,3,628,21,-0.72,-0.05,-0.88,-0.04,-0.04,-0.03,-0.12,-0.83
97,Thiabendazole,DR97,-8.6,1,1.77,C10H7N3S,201.04,10,293,213.16,66.34,146.82,1,3,1,21,7,14,23.12,2,1,6,1.61,40.07,23,754,72,9.82,3,441,17,-0.61,-0.04,-0.13,-0.04,-0.06,-0.03,-0.15,-0.86
98,Thiothixene,DR98,-14.3,1,3.14,C23H29N3O2S2,443.17,23,2491,567.55,108.59,458.96,0,6,4,59,29,30,50.61,2,2,12,1.29,120.7,62,10546,224,25.86,4,4208,52,-0.48,-0.03,-0.13,-0.03,-0.03,-0.01,-0.01,-0.62
99,2g94,DR99,-12.99,0,1.57,C30H54N6O8S,658.37,30,8439,913.83,158.08,755.75,5,13,19,99,54,45,67.97,1,0,0,2.83,198.44,99,51869,366,42.31,1,8563,62,-0.29,-0.02,-0.08,-0.01,-0.02,0,-0.35,-0.43
100,2gyi,DR100,-9.55,0,-3.04,C4H9NO5,151.05,4,125,184.45,110.02,74.43,5,6,3,19,9,10,12.24,0,0,0,3.69,21.47,18,275,56,8.57,0,125,12,-0.95,-0.06,-0.09,-0.05,-0.13,-0.08,-10500,-2.39
101,2gzl,DR101,-6.58,0,-2.92,C23H31N5O13P2S,679.11,23,8407,774.21,262.6,511.61,6,17,12,75,31,44,62.85,2,2,10,1.16,197.68,78,56187,270,33.46,4,10664,74,-0.15,-0.01,-0.03,-0.01,-0.01,0,-5470,-0.29
102,2h15,DR102,-7.74,0,-0.42,C12H22N2O7S,338.11,12,948,424.05,88.67,335.38,2,9,2,44,22,22,31.81,3,0,0,1.84,80.86,46,2928,178,18.88,3,1348,35,-0.35,-0.02,-0.09,-0.02,-0.02,-0.01,-20.4,-0.64
103,2h3e,DR103,-7.77,0,-4.05,C6H11N2O7P,254.03,6,476,283.59,138.78,144.81,5,9,6,27,11,16,20.44,0,0,0,4.18,44.05,26,1432,84,12.02,0,476,17,-0.49,-0.03,-0.06,-0.03,-0.05,-0.02,-87200,-1.3
104,2h5a,DR104,-6.95,0,-3.33,C5H11O8P,230.02,5,296,248.53,146.49,102.04,5,8,2,25,11,14,17.7,1,0,0,2.55,38.58,25,752,86,11.22,1,429,19,-0.5,-0.03,-0.05,-0.03,-0.07,-0.02,-14900,-1.39
105,2h6t,DR105,-9.85,0,2.76,C34H63N5O9,685.46,34,10287,978.2,163.11,815.09,8,14,22,111,63,48,72.22,0,0,0,5.54,215.48,110,68107,408,47.43,0,10287,68,-0.21,-0.01,-0.06,-0.01,-0.01,0,-0.02,-0.29
106,2ha2,DR106,-6.35,0,-2.91,C14H30N2O4,290.22,14,1078,459.05,52.6,406.45,0,6,11,50,30,20,31.27,0,0,0,3.6,57.42,49,4741,184,21.01,0,1078,19,-0.32,-0.02,-0.12,-0.01,-0.02,-0.01,-5160,-0.45
107,2hrm,DR107,-4.85,0,-4.5,C10H16N2O10P2,386.03,10,1460,404.62,202.55,202.07,5,12,6,40,16,24,31.49,2,0,0,1.78,83.97,41,5907,144,17.83,2,1846,33,-0.2,-0.01,-0.02,-0.01,-0.02,0,-153000,-0.48
108,2hw2,DR108,-4.05,0,2.11,C43H58N4O12,822.41,43,13890,1029.9,213.3,816.6,6,16,5,117,58,59,85.86,4,1,6,1.41,331.33,121,78198,436,51.28,5,29430,115,-0.07,0,-0.02,0,0,0,-0.03,-0.09
